Mon Apr 24 19:14:35 2023	Lugii (STEAM_0:1:552352244): !bring MrMillerUK
Mon Apr 24 19:14:37 2023	MrMillerUK was killed by Lugii with a weapon_gblaster_asriel_rainbow
Mon Apr 24 19:14:39 2023	MrMillerUK (STEAM_0:1:525475507) spawned
Mon Apr 24 19:14:41 2023	Lugii (STEAM_0:1:552352244): // crossfire
Mon Apr 24 19:14:46 2023	MrMillerUK (STEAM_0:1:525475507): !goto tro
Mon Apr 24 19:14:48 2023	Lugii (STEAM_0:1:552352244): !bring MrMillerUK
Mon Apr 24 19:15:05 2023	MrMillerUK (STEAM_0:1:525475507): !warn
Mon Apr 24 19:15:14 2023	OWNER (STEAM_0:1:634690584): !god mr
Mon Apr 24 19:15:18 2023	OWNER (STEAM_0:1:634690584): 
Mon Apr 24 19:15:36 2023	OWNER (STEAM_0:1:634690584): !noclip
Mon Apr 24 19:15:57 2023	Lugii (STEAM_0:1:552352244): !noclip
Mon Apr 24 19:16:05 2023	Lugii (STEAM_0:1:552352244): !noclip
Mon Apr 24 19:16:10 2023	MrMillerUK (STEAM_0:1:525475507): !noclip
Mon Apr 24 19:16:15 2023	Lugii (STEAM_0:1:552352244): !bring MrMillerUK
Mon Apr 24 19:16:22 2023	Lugii (STEAM_0:1:552352244): !ungod MrMillerUK
Mon Apr 24 19:16:23 2023	MrMillerUK was killed by Lugii with a weapon_gblaster_gaster
Mon Apr 24 19:16:24 2023	MrMillerUK (STEAM_0:1:525475507) spawned
Mon Apr 24 19:16:25 2023	Lugii (STEAM_0:1:552352244): !noclip
Mon Apr 24 19:16:32 2023	Lugii (STEAM_0:1:552352244): !noclip
Mon Apr 24 19:16:36 2023	Lugii (STEAM_0:1:552352244): !bring all
Mon Apr 24 19:16:37 2023	MrMillerUK (STEAM_0:1:525475507): !god Mr
Mon Apr 24 19:16:41 2023	Lugii (STEAM_0:1:552352244): !bring MrMillerUK
Mon Apr 24 19:17:16 2023	Lugii (STEAM_0:1:552352244) spawned SENT ch_bitminer_power_cable
Mon Apr 24 19:18:44 2023	Lugii (STEAM_0:1:552352244) spawned SENT ch_bitminer_hacking_usb
Mon Apr 24 19:19:45 2023	Lugii (STEAM_0:1:552352244) spawned SENT ch_bitminer_shelf
Mon Apr 24 19:19:47 2023	Lugii (STEAM_0:1:552352244) spawned SENT ch_bitminer_power_rtg
Mon Apr 24 19:19:49 2023	Lugii (STEAM_0:1:552352244) spawned SENT ch_bitminer_power_cable
Mon Apr 24 19:19:59 2023	Lugii (STEAM_0:1:552352244) spawned SENT ch_bitminer_hacking_usb
Mon Apr 24 19:20:13 2023	Lugii (STEAM_0:1:552352244) spawned SENT ch_bitminer_antivirus_usb
Mon Apr 24 19:21:01 2023	MrMillerUK (STEAM_0:1:525475507): !warn
Mon Apr 24 19:21:26 2023	MrMillerUK (STEAM_0:1:525475507): /pm t yo you need to make it so i can warn ppl
Mon Apr 24 19:22:33 2023	MrMillerUK (STEAM_0:1:525475507): !NOCLIP
Mon Apr 24 19:23:06 2023	MrMillerUK (STEAM_0:1:525475507): !goto tronix
Mon Apr 24 19:23:15 2023	MrMillerUK (STEAM_0:1:525475507): 
Mon Apr 24 19:23:20 2023	MrMillerUK (STEAM_0:1:525475507): /noclip
Mon Apr 24 19:24:15 2023	MrMillerUK (STEAM_0:1:525475507): !
Mon Apr 24 19:25:10 2023	MrMillerUK (STEAM_0:1:525475507): !warn
Mon Apr 24 19:25:17 2023	MrMillerUK (STEAM_0:1:525475507): !warn
Mon Apr 24 19:25:28 2023	OWNER (STEAM_0:1:634690584): .!warn
Mon Apr 24 19:25:31 2023	MrMillerUK (STEAM_0:1:525475507): !warn
Mon Apr 24 19:25:35 2023	Lugii (STEAM_0:1:552352244): !warn
Mon Apr 24 19:25:36 2023	OWNER (STEAM_0:1:634690584): !warn
Mon Apr 24 19:25:51 2023	MrMillerUK (STEAM_0:1:525475507): !warns
Mon Apr 24 19:27:10 2023	MrMillerUK (STEAM_0:1:525475507): !warn
Mon Apr 24 19:27:31 2023	OWNER (STEAM_0:1:634690584): !noclip
Mon Apr 24 19:27:39 2023	Lugii (STEAM_0:1:552352244) spawned SENT pax_scoreboard
Mon Apr 24 19:27:52 2023	MrMillerUK (STEAM_0:1:525475507): !warns
Mon Apr 24 19:27:59 2023	Lugii (STEAM_0:1:552352244) spawned SENT xenin_coinflip_npc
Mon Apr 24 19:29:10 2023	OWNER (STEAM_0:1:634690584) spawned SENT pax_scoreboard
Mon Apr 24 19:29:34 2023	OWNER (STEAM_0:1:634690584) spawned SENT pax_scoreboard
Mon Apr 24 19:30:15 2023	MrMillerUK (STEAM_0:1:525475507): !noclip
Mon Apr 24 19:30:52 2023	OWNER (STEAM_0:1:634690584) spawned SENT xenin_coinflip_npc
Mon Apr 24 19:30:57 2023	OWNER (STEAM_0:1:634690584) spawned SENT xenin_coinflip_npc
Mon Apr 24 19:31:10 2023	OWNER (STEAM_0:1:634690584): !noclip
Mon Apr 24 19:31:13 2023	MrMillerUK (STEAM_0:1:525475507): !warn
Mon Apr 24 19:31:18 2023	MrMillerUK (STEAM_0:1:525475507) disconnected
Mon Apr 24 19:31:24 2023	OWNER (STEAM_0:1:634690584) spawned SENT xenin_coinflip_npc
Mon Apr 24 19:31:43 2023	OWNER (STEAM_0:1:634690584) spawned SENT xenin_coinflip_npc
Mon Apr 24 19:31:53 2023	OWNER (STEAM_0:1:634690584) spawned SENT xenin_coinflip_npc
Mon Apr 24 19:32:11 2023	OWNER (STEAM_0:1:634690584) spawned SENT xenin_coinflip_npc
Mon Apr 24 19:32:25 2023	MrMillerUK (STEAM_0:1:525475507) has joined the game
Mon Apr 24 19:32:25 2023	MrMillerUK (STEAM_0:1:525475507) spawned
Mon Apr 24 19:32:34 2023	OWNER (STEAM_0:1:634690584) spawned SENT xenin_coinflip_npc
Mon Apr 24 19:32:42 2023	OWNER (STEAM_0:1:634690584) spawned SENT xenin_coinflip_npc
Mon Apr 24 19:32:49 2023	OWNER (STEAM_0:1:634690584) spawned SENT xenin_coinflip_npc
Mon Apr 24 19:33:02 2023	OWNER (STEAM_0:1:634690584) spawned SENT xenin_coinflip_npc
Mon Apr 24 19:33:18 2023	OWNER (STEAM_0:1:634690584) spawned SENT xenin_coinflip_npc
Mon Apr 24 19:33:41 2023	MrMillerUK (STEAM_0:1:525475507): !warn
Mon Apr 24 19:33:55 2023	MrMillerUK (STEAM_0:1:525475507): !goto tronix
Mon Apr 24 19:34:16 2023	OWNER (STEAM_0:1:634690584): !goto mr
Mon Apr 24 19:34:27 2023	MrMillerUK (STEAM_0:1:525475507): !warn
Mon Apr 24 19:34:33 2023	OWNER (STEAM_0:1:634690584): !warn
Mon Apr 24 19:34:52 2023	MrMillerUK (STEAM_0:1:525475507): !warn
Mon Apr 24 19:36:34 2023	OWNER (STEAM_0:1:634690584): !addjailpos
Mon Apr 24 19:36:44 2023	OWNER (STEAM_0:1:634690584): !setjailpos
Mon Apr 24 19:36:53 2023	OWNER (STEAM_0:1:634690584): !nring mr
Mon Apr 24 19:36:55 2023	MrMillerUK (STEAM_0:1:525475507): !noclip
Mon Apr 24 19:36:58 2023	OWNER (STEAM_0:1:634690584): !bring mr
Mon Apr 24 19:37:25 2023	OWNER (STEAM_0:1:634690584): /addjailpos
Mon Apr 24 19:37:34 2023	OWNER (STEAM_0:1:634690584): /addjailpos
Mon Apr 24 19:37:34 2023	MrMillerUK (STEAM_0:1:525475507): !noclip
Mon Apr 24 19:37:42 2023	OWNER (STEAM_0:1:634690584): /addjailpos
Mon Apr 24 19:37:51 2023	MrMillerUK (STEAM_0:1:525475507): !warn
Mon Apr 24 19:37:57 2023	OWNER (STEAM_0:1:634690584): /addjailpos
Mon Apr 24 19:38:00 2023	MrMillerUK (STEAM_0:1:525475507): !noclip
Mon Apr 24 19:38:03 2023	OWNER (STEAM_0:1:634690584): /addjailpos
Mon Apr 24 19:38:08 2023	OWNER (STEAM_0:1:634690584): /setjailpos
Mon Apr 24 19:38:15 2023	OWNER (STEAM_0:1:634690584): /addjailpos
Mon Apr 24 19:38:23 2023	OWNER (STEAM_0:1:634690584): /addjailpos
Mon Apr 24 19:38:31 2023	OWNER (STEAM_0:1:634690584): /addjailpos
Mon Apr 24 19:38:40 2023	OWNER (STEAM_0:1:634690584): /addjailpos
Mon Apr 24 19:38:46 2023	MrMillerUK (STEAM_0:1:525475507): !noclip
Mon Apr 24 19:39:01 2023	MrMillerUK (STEAM_0:1:525475507): !noclip
Mon Apr 24 19:39:16 2023	OWNER (STEAM_0:1:634690584): !bring mr
Mon Apr 24 19:39:19 2023	MrMillerUK (STEAM_0:1:525475507) spawned
